timestamp,city,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime,hour,day,month,aqi_change_rate
1723359600,Rawalpindi,2,834.47,0.17,13.37,50.07,6.2,11.96,12.85,3.45,2024-08-11 07:00:00,7,11,8,0.0
1723363200,Rawalpindi,2,774.38,0.14,12.17,43.27,6.08,11.23,11.93,3.36,2024-08-11 08:00:00,8,11,8,0.0
1723366800,Rawalpindi,2,747.68,0.15,12.68,43.27,6.08,10.32,10.96,3.39,2024-08-11 09:00:00,9,11,8,0.0
1723370400,Rawalpindi,1,761.03,0.8,13.37,55.79,6.14,9.7,10.35,3.55,2024-08-11 10:00:00,10,11,8,-1.0
1723374000,Rawalpindi,2,854.49,1.63,15.77,73.67,5.66,10.14,10.87,3.83,2024-08-11 11:00:00,11,11,8,1.0
1723377600,Rawalpindi,2,974.66,2.46,21.08,78.68,5.13,10.96,11.8,4.18,2024-08-11 12:00:00,12,11,8,0.0
1723381200,Rawalpindi,2,1361.85,3.8,41.13,52.21,4.47,13.24,14.7,5.76,2024-08-11 13:00:00,13,11,8,0.0
1723384800,Rawalpindi,2,1869.2,2.88,65.8,13.77,4.47,17.66,20.58,8.04,2024-08-11 14:00:00,14,11,8,0.0
1723388400,Rawalpindi,2,2056.12,5.81,69.23,1.59,4.77,21.62,25.99,9.25,2024-08-11 15:00:00,15,11,8,0.0
1723392000,Rawalpindi,2,2002.72,6.71,64.43,0.88,4.65,23.87,29.41,9.63,2024-08-11 16:00:00,16,11,8,0.0
1723395600,Rawalpindi,2,1695.63,2.71,55.52,3.62,3.99,23.03,28.98,8.36,2024-08-11 17:00:00,17,11,8,0.0
1723399200,Rawalpindi,2,1321.79,0.36,41.13,14.31,3.52,19.44,24.64,6.59,2024-08-11 18:00:00,18,11,8,0.0
1723402800,Rawalpindi,2,1174.93,0.31,34.62,15.2,2.92,17.29,21.8,5.57,2024-08-11 19:00:00,19,11,8,0.0
1723406400,Rawalpindi,2,1268.39,1.22,36.33,5.05,2.98,19.34,24.42,6.46,2024-08-11 20:00:00,20,11,8,0.0
1723410000,Rawalpindi,2,1268.39,1.49,33.24,2.75,3.49,21.55,27.16,8.36,2024-08-11 21:00:00,21,11,8,0.0
1723413600,Rawalpindi,2,1255.04,1.44,30.5,2.3,4.35,24.03,30.05,11.02,2024-08-11 22:00:00,22,11,8,0.0
1723417200,Rawalpindi,3,1255.04,1.41,28.1,2.06,4.95,26.28,32.65,11.78,2024-08-11 23:00:00,23,11,8,1.0
1723420800,Rawalpindi,3,1281.74,2.68,26.73,1.05,5.25,28.29,35.08,12.03,2024-08-12 00:00:00,0,12,8,0.0
1723424400,Rawalpindi,3,1401.9,8.27,26.39,0.17,5.48,30.23,37.71,12.54,2024-08-12 01:00:00,1,12,8,0.0
1723428000,Rawalpindi,3,1922.61,30.85,28.45,1.45,6.5,34.81,43.68,12.79,2024-08-12 02:00:00,2,12,8,0.0
1723431600,Rawalpindi,3,2696.99,58.11,40.1,5.72,8.11,40.39,49.85,12.41,2024-08-12 03:00:00,3,12,8,0.0
